R1
,D0601
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_AVBRJBJONL47I_x,RealSessions_AVBRJBJONL47I_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,385,0.3996,,381,0.39169,,321,0.35213,,307,0.34916
,,446,0.43126,,418,0.40257,,343,0.37092,,362,0.37587
,,488,0.43719,,469,0.43225,,390,0.40455,,420,0.3996
,,530,0.44708,,530,0.45697,,427,0.42928,,452,0.40356
,,,,,,,,470,0.43719,,482,0.41444
,,,,,,,,531,0.46686,,507,0.42433
,,,,,,,,565,0.47478,,537,0.43422
,,,,,,,,611,0.48961,,585,0.46093
,,,,,,,,,,,624,0.46686
,,,,,,,,,,,664,0.48467
,,,,,,,,,,,719,0.49951
,D0643
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y
,,97,0.15717,,97,0.15717,,97,0.15717,,97,0.15717
,,152,0.23084,,153,0.22888,,131,0.18468,,163,0.22102
,,209,0.27898,,190,0.25639,,152,0.2053,,220,0.28782
,,276,0.32613,,226,0.29175,,198,0.26916,,284,0.33694
,,297,0.33104,,278,0.31336,,247,0.30747,,329,0.35855
,,343,0.36739,,326,0.32318,,306,0.33792,,389,0.38802
,,383,0.38016,,372,0.33202,,366,0.35756,,410,0.39293
,,429,0.41847,,408,0.36051,,410,0.38409,,454,0.41749
,,481,0.43222,,440,0.3723,,458,0.39194,,501,0.42731
,,533,0.44892,,487,0.39391,,514,0.4391,,560,0.44204
,,,,,552,0.42731,,566,0.44794,,615,0.44499
,,,,,611,0.44401,,603,0.45187,,670,0.45874
,,,,,669,0.46267,,635,0.45383,,720,0.47151
,,,,,,,,,,,775,0.48527
,,,,,,,,,,,829,0.50295
,,,,,,,,,,,889,0.51277
,,,,,,,,,,,922,0.5167
,,,,,,,,,,,984,0.52259
,D0645
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y
,,98,0.1484,,98,0.1484,,98,0.1484,,98,0.1484
,,149,0.2192,,143,0.20466,,143,0.20466,,143,0.20466
,,189,0.26091,,194,0.25897,,205,0.26576,,194,0.25897
,,239,0.30553,,245,0.32202,,248,0.30553,,233,0.2871
,,267,0.33269,,292,0.35209,,299,0.34142,,274,0.30844
,,299,0.34433,,330,0.36954,,335,0.34724,,325,0.35984
,,351,0.36081,,391,0.39573,,386,0.387,,384,0.40737
,,412,0.4064,,444,0.41804,,423,0.4064,,449,0.44423
,,467,0.43647,,512,0.44617,,474,0.41804,,500,0.46557
,,516,0.44714,,564,0.45296,,524,0.43356,,548,0.47624
,,,,,596,0.45684,,571,0.45393,,599,0.48885
,,,,,,,,613,0.46848,,625,0.49467
,,,,,,,,,,,677,0.49855
,,,,,,,,,,,733,0.50533
,,,,,,,,,,,771,0.50824
,,,,,,,,,,,829,0.51212
,,,,,,,,,,,863,0.51794
,D0647
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y
,,82,0.16458,,82,0.16458,,82,0.16458,,82,0.16458
,,123,0.22522,,135,0.24254,,109,0.20308,,124,0.22233
,,170,0.30029,,176,0.30414,,157,0.28681,,164,0.25505
,,226,0.35226,,224,0.35804,,220,0.34649,,225,0.33879
,,271,0.38595,,281,0.4129,,268,0.40423,,254,0.36862
,,320,0.43215,,319,0.44273,,317,0.41386,,293,0.39942
,,337,0.44273,,348,0.46006,,352,0.42445,,351,0.42637
,,364,0.46102,,410,0.49182,,400,0.45428,,370,0.43792
,,397,0.47642,,456,0.51203,,457,0.49759,,405,0.44947
,,,,,513,0.5409,,498,0.51877,,453,0.47449
,,,,,554,0.5563,,528,0.53128,,517,0.48797
,,,,,606,0.564,,580,0.54283,,554,0.49086
,,,,,661,0.56882,,638,0.57459,,608,0.50144
,,,,,725,0.58133,,660,0.5794,,,
,,,,,,,,696,0.59192,,,
,D0650
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,95,0.12525,,95,0.12525,,95,0.12525,,95,0.12525
,,159,0.18688,,159,0.18688,,159,0.18688,,159,0.18688
,,181,0.19284,,210,0.22465,,201,0.22565,,189,0.21571
,,213,0.20974,,240,0.23857,,250,0.2674,,225,0.23658
,,250,0.22664,,262,0.25149,,298,0.30716,,260,0.26143
,,295,0.25547,,297,0.25646,,328,0.32306,,289,0.27038
,,347,0.29523,,345,0.30119,,365,0.35089,,340,0.29125
,,377,0.30815,,385,0.32903,,406,0.36978,,378,0.3161
,,427,0.33201,,438,0.35984,,456,0.3837,,440,0.333
,,479,0.35089,,488,0.39066,,491,0.38966,,484,0.36083
,,,,,543,0.40358,,,,,530,0.38966
,,,,,591,0.42147,,,,,,
,,,,,621,0.42843,,,,,,
RSU
,D0601
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_AVBRJBJONL47I_x,RealSessions_AVBRJBJONL47I_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,86,0.02138,,86,0.02138,,86,0.02138,,86,0.02138
,,137,0.04189,,138,0.054,,136,0.05186,,140,0.04746
,,189,0.07737,,180,0.07699,,177,0.07635,,205,0.08142
,,259,0.11887,,229,0.0961,,230,0.10653,,234,0.09612
,,324,0.1537,,284,0.13403,,264,0.12473,,281,0.1111
,,381,0.17305,,349,0.15655,,315,0.14549,,324,0.12811
,,431,0.19831,,391,0.18506,,380,0.17586,,374,0.15904
,,475,0.23382,,445,0.19971,,428,0.186,,427,0.17877
,,,,,499,0.21965,,477,0.21189,,463,0.18849
,,,,,564,0.23867,,527,0.23325,,489,0.20499
,,,,,608,0.25587,,584,0.2548,,538,0.22915
,,,,,,,,641,0.27993,,,
,,,,,,,,695,0.30568,,,
,,,,,,,,762,0.32948,,,
,,,,,,,,827,0.34768,,,
,D0603
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y,,RealSessions_AVBRJBJONL47I_x,RealSessions_AVBRJBJONL47I_y
,,85,0.01873,,85,0.01873,,85,0.01873,,85,0.01873
,,141,0.04821,,147,0.04684,,141,0.04821,,143,0.04809
,,208,0.08954,,196,0.07673,,195,0.08774,,177,0.07102
,,257,0.12008,,251,0.11962,,262,0.13291,,232,0.09662
,,316,0.1558,,302,0.15279,,300,0.16063,,290,0.11618
,,373,0.19301,,353,0.18991,,353,0.18631,,347,0.14304
,,424,0.21069,,395,0.21739,,404,0.22004,,403,0.17752
,,473,0.23158,,452,0.23872,,466,0.24453,,466,0.19835
,,526,0.2516,,513,0.27027,,524,0.27427,,528,0.22286
,,561,0.28248,,561,0.28893,,583,0.29057,,566,0.24831
,,,,,623,0.30873,,,,,621,0.27375
,,,,,685,0.32941,,,,,672,0.29579
,,,,,729,0.35337,,,,,726,0.31634
,,,,,773,0.36727,,,,,783,0.3271
,,,,,,,,,,,841,0.34307
,,,,,,,,,,,886,0.35088
,D0605
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y,,RealSessions_AVBRJBJONL47I_x,RealSessions_AVBRJBJONL47I_y
,,86,0.02686,,86,0.02686,,86,0.02686,,86,0.02686
,,110,0.04054,,140,0.05412,,128,0.05502,,138,0.0528
,,146,0.06483,,187,0.07912,,150,0.06597,,168,0.06685
,,176,0.07937,,218,0.09377,,217,0.11119,,185,0.07494
,,218,0.11239,,258,0.11799,,272,0.14772,,222,0.10259
,,255,0.12868,,307,0.14003,,302,0.1618,,266,0.12511
,,295,0.15937,,350,0.15546,,351,0.18495,,306,0.15569
,,361,0.18983,,376,0.1684,,391,0.20266,,344,0.17298
,,410,0.2068,,400,0.17671,,458,0.23585,,410,0.20518
,,455,0.23742,,430,0.18589,,499,0.26101,,447,0.22732
,,,,,470,0.21063,,,,,469,0.24085
,,,,,524,0.22731,,,,,492,0.24684
,,,,,564,0.24481,,,,,531,0.2611
,,,,,589,0.25321,,,,,572,0.27357
,,,,,,,,,,,613,0.29115
,D0608
,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_AVBRJBJONL47I_x,RealSessions_AVBRJBJONL47I_y
,,85,0.02215,,85,0.02215,,85,0.02215,,85,0.02215
,,147,0.05854,,130,0.04371,,130,0.04371,,135,0.04317
,,188,0.09152,,188,0.08441,,183,0.08647,,192,0.06635
,,237,0.11636,,237,0.1161,,239,0.12802,,254,0.11406
,,272,0.13454,,269,0.13602,,293,0.15558,,286,0.13167
,,317,0.16325,,331,0.17389,,327,0.17361,,344,0.17251
,,349,0.17936,,379,0.19906,,387,0.19994,,404,0.19903
,,407,0.2187,,426,0.22216,,444,0.23008,,449,0.22964
,,469,0.24517,,474,0.24939,,500,0.25632,,500,0.25254
,,,,,496,0.26264,,562,0.27614,,549,0.26872
,,,,,,,,616,0.2956,,617,0.28958
,,,,,,,,650,0.30239,,,
,,,,,,,,681,0.30777,,,
,,,,,,,,735,0.31775,,,
,D0614
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_AVBRJBJONL47I_x,RealSessions_AVBRJBJONL47I_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,81,0.02329,,81,0.02329,,81,0.02329,,81,0.02329
,,137,0.06057,,137,0.06057,,137,0.06057,,137,0.06057
,,195,0.11905,,197,0.10357,,197,0.10357,,198,0.11234
,,256,0.17429,,255,0.16432,,229,0.13015,,258,0.15834
,,298,0.20223,,287,0.18882,,272,0.16467,,316,0.21704
,,358,0.24566,,344,0.23247,,330,0.22656,,362,0.24641
,,419,0.2772,,392,0.2687,,368,0.25145,,415,0.27329
,,466,0.31733,,445,0.29147,,421,0.28167,,446,0.28867
,,,,,504,0.31809,,461,0.32141,,498,0.31178
,,,,,565,0.36348,,,,,,
,,,,,607,0.37904,,,,,,
,,,,,631,0.38617,,,,,,
,,,,,687,0.40918,,,,,,
,,,,,735,0.43682,,,,,,
,,,,,777,0.44318,,,,,,
,D0615
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y,,RealSessions_AVBRJBJONL47I_x,RealSessions_AVBRJBJONL47I_y
,,86,0.02022,,86,0.02022,,86,0.02022,,86,0.02022
,,128,0.03875,,139,0.05322,,121,0.03795,,141,0.04968
,,171,0.05639,,174,0.07081,,143,0.05112,,183,0.07146
,,235,0.09316,,238,0.10439,,183,0.06697,,247,0.10599
,,275,0.11907,,294,0.12412,,228,0.10775,,294,0.11714
,,330,0.14557,,349,0.14708,,249,0.11815,,328,0.12889
,,368,0.16548,,394,0.15949,,313,0.15411,,361,0.14097
,,,,,439,0.16562,,359,0.17849,,415,0.16266
,,,,,463,0.17227,,413,0.19639,,456,0.17815
,,,,,512,0.18993,,,,,499,0.19809
,,,,,555,0.19723,,,,,544,0.21312
,,,,,,,,,,,592,0.21963
,,,,,,,,,,,630,0.23369
,D0616
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_AVBRJBJONL47I_x,RealSessions_AVBRJBJONL47I_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,87,0.01977,,87,0.01977,,87,0.01977,,87,0.01977
,,144,0.05979,,151,0.0529,,144,0.05979,,135,0.04008
,,204,0.10254,,213,0.09531,,204,0.10254,,193,0.06602
,,256,0.1346,,270,0.14903,,237,0.12381,,226,0.0897
,,307,0.16904,,321,0.18278,,299,0.16337,,245,0.09417
,,351,0.19386,,366,0.20627,,369,0.20438,,282,0.11011
,,404,0.23311,,410,0.22432,,420,0.21946,,339,0.16229
,,456,0.26097,,458,0.25024,,471,0.23848,,399,0.19979
,,,,,503,0.2832,,503,0.24873,,451,0.23294
,,,,,556,0.31458,,550,0.26707,,499,0.26142
,,,,,595,0.33026,,589,0.28846,,559,0.28077
,,,,,649,0.3713,,637,0.31722,,606,0.30115
,,,,,,,,691,0.35561,,651,0.31421
,,,,,,,,751,0.36921,,,
,,,,,,,,804,0.38775,,,
,,,,,,,,827,0.39129,,,
,,,,,,,,857,0.40497,,,
,D0617
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y,,RealSessions_AVBRJBJONL47I_x,RealSessions_AVBRJBJONL47I_y
,,29,0.0036,,29,0.0036,,29,0.0036,,29,0.0036
,,61,0.01325,,67,0.01501,,72,0.01861,,72,0.01861
,,109,0.02551,,121,0.03453,,92,0.02573,,122,0.03543
,,146,0.05353,,173,0.07287,,152,0.06326,,154,0.05038
,,181,0.07734,,233,0.12138,,194,0.09211,,215,0.08026
,,242,0.10701,,256,0.13564,,239,0.1191,,265,0.10332
,,292,0.12787,,304,0.14703,,287,0.13789,,319,0.14674
,,352,0.15686,,361,0.17429,,320,0.15534,,376,0.20086
,,409,0.18269,,404,0.18445,,351,0.1646,,428,0.22929
,,448,0.20277,,439,0.20135,,386,0.18782,,476,0.24114
,,,,,487,0.22507,,435,0.21249,,506,0.24869
,,,,,534,0.24205,,,,,541,0.2679
,,,,,595,0.26264,,,,,589,0.28601
,D0620
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_AVBRJBJONL47I_x,RealSessions_AVBRJBJONL47I_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,88,0.02774,,88,0.02774,,88,0.02774,,88,0.02774
,,136,0.05702,,128,0.0458,,146,0.05507,,127,0.03851
,,194,0.08561,,189,0.07565,,194,0.08732,,169,0.06432
,,242,0.11938,,235,0.09006,,234,0.10693,,209,0.09223
,,290,0.14962,,279,0.11386,,276,0.1278,,244,0.11204
,,337,0.17246,,322,0.13665,,315,0.14865,,302,0.14062
,,388,0.19411,,387,0.16003,,350,0.16088,,353,0.16195
,,428,0.20896,,437,0.17959,,396,0.17645,,403,0.19597
,,487,0.234,,495,0.20601,,435,0.19661,,434,0.21702
,,,,,561,0.22362,,492,0.21498,,,
,,,,,609,0.24894,,546,0.22898,,,
,,,,,662,0.27537,,,,,,
,,,,,722,0.29774,,,,,,
,,,,,772,0.31069,,,,,,
,,,,,834,0.32439,,,,,,
,,,,,884,0.34478,,,,,,
,,,,,927,0.35274,,,,,,
,D0624
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_AVBRJBJONL47I_x,RealSessions_AVBRJBJONL47I_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,89,0.02667,,89,0.02667,,89,0.02667,,89,0.02667
,,128,0.05099,,125,0.04887,,138,0.05978,,138,0.05978
,,198,0.11611,,184,0.08991,,190,0.10237,,185,0.09553
,,247,0.16391,,231,0.12856,,260,0.17083,,237,0.13888
,,291,0.2067,,299,0.20539,,317,0.20931,,276,0.17026
,,338,0.24094,,352,0.24431,,364,0.23202,,334,0.22096
,,387,0.27724,,396,0.26795,,404,0.26383,,386,0.25442
,,,,,437,0.2915,,449,0.28231,,433,0.28997
,,,,,492,0.32979,,496,0.29909,,,
,,,,,536,0.35238,,532,0.32002,,,
,,,,,577,0.37098,,581,0.33827,,,
,,,,,644,0.39656,,610,0.3434,,,
,,,,,683,0.41476,,664,0.36696,,,
,,,,,742,0.43361,,,,,,
,,,,,786,0.45844,,,,,,
,D0627
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y
,,20,0.00163,,20,0.00163,,20,0.00163,,20,0.00163
,,58,0.01122,,64,0.00898,,68,0.01179,,38,0.00481
,,118,0.0485,,117,0.03212,,111,0.03185,,91,0.02448
,,172,0.07136,,156,0.05457,,164,0.06565,,135,0.04302
,,222,0.11197,,205,0.08728,,226,0.10948,,193,0.08359
,,258,0.1303,,249,0.11552,,278,0.13981,,254,0.12293
,,304,0.15756,,315,0.14646,,311,0.16088,,277,0.12995
,,343,0.17137,,346,0.16853,,372,0.19164,,316,0.1498
,,408,0.20391,,395,0.20466,,400,0.20556,,368,0.16935
,,,,,447,0.23165,,,,,412,0.18575
,,,,,491,0.25714,,,,,462,0.22221
,,,,,553,0.28922,,,,,501,0.24703
,,,,,614,0.30491,,,,,537,0.26154
,,,,,670,0.33187,,,,,582,0.2954
,,,,,,,,,,,628,0.32256
,,,,,,,,,,,680,0.3356
,,,,,,,,,,,707,0.3419
,,,,,,,,,,,741,0.3566
,D0628
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,105,0.02537,,105,0.02537,,105,0.02537,,105,0.02537
,,162,0.06116,,146,0.04162,,153,0.05387,,157,0.05965
,,196,0.07663,,207,0.07107,,201,0.08326,,205,0.09228
,,239,0.10381,,255,0.10495,,239,0.1074,,255,0.12213
,,278,0.14505,,294,0.14284,,286,0.1525,,294,0.15399
,,310,0.16804,,327,0.17087,,347,0.18474,,342,0.18184
,,357,0.19221,,384,0.21783,,390,0.204,,399,0.2061
,,413,0.23788,,433,0.24764,,447,0.23202,,460,0.23948
,,459,0.25431,,490,0.27539,,486,0.26259,,491,0.26403
,,500,0.28238,,542,0.30799,,542,0.29012,,532,0.28214
,,,,,567,0.31675,,,,,563,0.29457
,,,,,618,0.32888,,,,,602,0.32323
,,,,,648,0.35742,,,,,632,0.33497
,,,,,679,0.36329,,,,,,
,D0629
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,93,0.02001,,93,0.02001,,93,0.02001,,93,0.02001
,,119,0.03075,,149,0.05086,,120,0.03252,,128,0.0334
,,177,0.06495,,191,0.07276,,143,0.04738,,170,0.05563
,,219,0.08799,,217,0.09112,,190,0.06419,,226,0.09047
,,260,0.10125,,265,0.10917,,248,0.09799,,274,0.10954
,,311,0.12497,,326,0.14484,,292,0.1226,,315,0.12179
,,366,0.15027,,395,0.1747,,319,0.13849,,360,0.14284
,,408,0.17378,,426,0.18374,,351,0.15454,,392,0.15706
,,441,0.18294,,466,0.20552,,407,0.18726,,446,0.18186
,,501,0.20424,,508,0.23416,,452,0.21099,,491,0.19948
,,,,,540,0.25434,,496,0.23496,,517,0.21403
,,,,,586,0.26883,,525,0.23894,,557,0.24247
,,,,,632,0.28621,,,,,599,0.26561
,,,,,,,,,,,639,0.2789
,,,,,,,,,,,674,0.28466
,D0630
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y
,,77,0.02179,,77,0.02179,,77,0.02179,,77,0.02179
,,127,0.04557,,133,0.05207,,111,0.04463,,102,0.02897
,,195,0.09151,,165,0.07635,,167,0.08188,,134,0.05032
,,240,0.11574,,195,0.10187,,199,0.10898,,188,0.08014
,,287,0.1512,,224,0.11243,,232,0.13494,,229,0.1082
,,350,0.18937,,286,0.15884,,275,0.16782,,294,0.139
,,397,0.20749,,316,0.17759,,334,0.20178,,344,0.16795
,,438,0.22823,,374,0.20668,,383,0.22421,,401,0.19849
,,479,0.23767,,431,0.24705,,436,0.23795,,449,0.22273
,,,,,481,0.26561,,484,0.26749,,510,0.25675
,,,,,528,0.28263,,513,0.27444,,560,0.2751
,,,,,583,0.29897,,564,0.29927,,623,0.29993
,,,,,,,,624,0.32342,,665,0.31773
,,,,,,,,,,,695,0.32787
,,,,,,,,,,,752,0.34918
,,,,,,,,,,,805,0.36788
,D0631
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y
,,88,0.02934,,88,0.02934,,88,0.02934,,88,0.02934
,,137,0.06304,,110,0.04379,,108,0.04351,,136,0.05859
,,200,0.11752,,148,0.06461,,159,0.07227,,164,0.0809
,,222,0.13669,,190,0.09377,,216,0.1217,,210,0.10116
,,281,0.16824,,245,0.13232,,254,0.15021,,255,0.12306
,,343,0.19634,,292,0.15877,,295,0.17723,,305,0.15839
,,390,0.21772,,326,0.18097,,349,0.20171,,349,0.18184
,,457,0.24778,,385,0.21655,,389,0.22523,,407,0.21637
,,495,0.26205,,423,0.22861,,447,0.26394,,447,0.23961
,,542,0.28633,,482,0.26019,,479,0.2802,,503,0.26383
,,,,,543,0.28395,,524,0.29954,,538,0.2745
,,,,,588,0.29741,,565,0.31137,,,
,,,,,638,0.31811,,608,0.33787,,,
,,,,,693,0.33892,,656,0.35296,,,
,D0640
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y
,,94,0.02231,,94,0.02231,,94,0.02231,,94,0.02231
,,157,0.0547,,141,0.05226,,117,0.03612,,141,0.05226
,,216,0.09422,,185,0.08329,,150,0.05967,,187,0.09687
,,260,0.13191,,234,0.11719,,192,0.08663,,238,0.12432
,,300,0.16075,,280,0.16071,,241,0.12376,,267,0.14221
,,332,0.17773,,345,0.20037,,284,0.14284,,286,0.15715
,,385,0.21439,,381,0.2186,,321,0.16773,,307,0.17036
,,446,0.24462,,418,0.23322,,343,0.18658,,362,0.19804
,,488,0.26169,,469,0.26424,,390,0.22048,,420,0.23172
,,530,0.2739,,530,0.29103,,427,0.24575,,452,0.23763
,,,,,,,,470,0.25735,,482,0.24914
,,,,,,,,531,0.28712,,507,0.25526
,,,,,,,,565,0.29988,,537,0.27006
,,,,,,,,611,0.3164,,585,0.30438
,,,,,,,,,,,624,0.31389
,,,,,,,,,,,664,0.33847
,,,,,,,,,,,719,0.36055
,D0643
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y
,,97,0.02988,,97,0.02988,,97,0.02988,,97,0.02988
,,152,0.06429,,153,0.06481,,131,0.04278,,163,0.06015
,,209,0.10064,,190,0.0937,,152,0.05476,,220,0.11057
,,276,0.14376,,226,0.12271,,198,0.09145,,284,0.15464
,,297,0.14942,,278,0.14775,,247,0.12554,,329,0.17753
,,343,0.18194,,326,0.16272,,306,0.16128,,389,0.21629
,,383,0.20412,,372,0.18271,,366,0.18965,,410,0.22281
,,429,0.23659,,408,0.20054,,410,0.21191,,454,0.24953
,,481,0.26665,,440,0.22219,,458,0.22734,,501,0.26853
,,533,0.29415,,487,0.25765,,514,0.26785,,560,0.29303
,,,,,552,0.29353,,566,0.28116,,615,0.31218
,,,,,611,0.31786,,603,0.29773,,670,0.33218
,,,,,669,0.33574,,635,0.30563,,720,0.34751
,,,,,,,,,,,775,0.36896
,,,,,,,,,,,829,0.37974
,,,,,,,,,,,889,0.3951
,,,,,,,,,,,922,0.40068
,,,,,,,,,,,984,0.41244
,D0645
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y
,,98,0.02741,,98,0.02741,,98,0.02741,,98,0.02741
,,149,0.05962,,143,0.0578,,143,0.0578,,143,0.0578
,,189,0.08733,,194,0.09442,,205,0.09584,,194,0.09442
,,239,0.1264,,245,0.13614,,248,0.12584,,233,0.11784
