metric,topic,start_len,end_len,word_range,auc_RealSessions_AJQGWGESKQT4Y,auc_RealSessions_A3GWRDHAURRNK6,auc_RealSessions_AVBRJBJONL47I,auc_RealSessions_A1A1ZXUVSV4YR8,auc_RealSessions_A1171IQSWQS0K8,auc_RealSessions_A3K2VSBTT3WUTI,auc_RealSessions_A1ZB2NY0F9QNP0,auc_RealSessions_A17TKHT8FEVH0R,auc_topic,aucNorm_RealSessions_AJQGWGESKQT4Y,aucNorm_RealSessions_A3GWRDHAURRNK6,aucNorm_RealSessions_AVBRJBJONL47I,aucNorm_RealSessions_A1A1ZXUVSV4YR8,aucNorm_RealSessions_A1171IQSWQS0K8,aucNorm_RealSessions_A3K2VSBTT3WUTI,aucNorm_RealSessions_A1ZB2NY0F9QNP0,aucNorm_RealSessions_A17TKHT8FEVH0R,score_limit,limit_wordCount_RealSessions_AJQGWGESKQT4Y,limit_wordCount_RealSessions_A3GWRDHAURRNK6,limit_wordCount_RealSessions_AVBRJBJONL47I,limit_wordCount_RealSessions_A1A1ZXUVSV4YR8,limit_wordCount_RealSessions_A1171IQSWQS0K8,limit_wordCount_RealSessions_A3K2VSBTT3WUTI,limit_wordCount_RealSessions_A1ZB2NY0F9QNP0,limit_wordCount_RealSessions_A17TKHT8FEVH0R,limit_wordCount_topic,limit_relativeWordCount_RealSessions_AJQGWGESKQT4Y,limit_relativeWordCount_RealSessions_A3GWRDHAURRNK6,limit_relativeWordCount_RealSessions_AVBRJBJONL47I,limit_relativeWordCount_RealSessions_A1A1ZXUVSV4YR8,limit_relativeWordCount_RealSessions_A1171IQSWQS0K8,limit_relativeWordCount_RealSessions_A3K2VSBTT3WUTI,limit_relativeWordCount_RealSessions_A1ZB2NY0F9QNP0,limit_relativeWordCount_RealSessions_A17TKHT8FEVH0R,wordcount_limit_-inf,limit_F1score_RealSessions_AJQGWGESKQT4Y_-inf,limit_F1score_RealSessions_A3GWRDHAURRNK6_-inf,limit_F1score_RealSessions_AVBRJBJONL47I_-inf,limit_F1score_RealSessions_A1A1ZXUVSV4YR8_-inf,limit_F1score_RealSessions_A1171IQSWQS0K8_-inf,limit_F1score_RealSessions_A3K2VSBTT3WUTI_-inf,limit_F1score_RealSessions_A1ZB2NY0F9QNP0_-inf,limit_F1score_RealSessions_A17TKHT8FEVH0R_-inf,limit_F1score_avg_-inf,wordcount_limit_100,limit_F1score_RealSessions_AJQGWGESKQT4Y_100,limit_F1score_RealSessions_A3GWRDHAURRNK6_100,limit_F1score_RealSessions_AVBRJBJONL47I_100,limit_F1score_RealSessions_A1A1ZXUVSV4YR8_100,limit_F1score_RealSessions_A1171IQSWQS0K8_100,limit_F1score_RealSessions_A3K2VSBTT3WUTI_100,limit_F1score_RealSessions_A1ZB2NY0F9QNP0_100,limit_F1score_RealSessions_A17TKHT8FEVH0R_100,limit_F1score_avg_100,wordcount_limit_150,limit_F1score_RealSessions_AJQGWGESKQT4Y_150,limit_F1score_RealSessions_A3GWRDHAURRNK6_150,limit_F1score_RealSessions_AVBRJBJONL47I_150,limit_F1score_RealSessions_A1A1ZXUVSV4YR8_150,limit_F1score_RealSessions_A1171IQSWQS0K8_150,limit_F1score_RealSessions_A3K2VSBTT3WUTI_150,limit_F1score_RealSessions_A1ZB2NY0F9QNP0_150,limit_F1score_RealSessions_A17TKHT8FEVH0R_150,limit_F1score_avg_150,wordcount_limit_250,limit_F1score_RealSessions_AJQGWGESKQT4Y_250,limit_F1score_RealSessions_A3GWRDHAURRNK6_250,limit_F1score_RealSessions_AVBRJBJONL47I_250,limit_F1score_RealSessions_A1A1ZXUVSV4YR8_250,limit_F1score_RealSessions_A1171IQSWQS0K8_250,limit_F1score_RealSessions_A3K2VSBTT3WUTI_250,limit_F1score_RealSessions_A1ZB2NY0F9QNP0_250,limit_F1score_RealSessions_A17TKHT8FEVH0R_250,limit_F1score_avg_250,wordcount_limit_350,limit_F1score_RealSessions_AJQGWGESKQT4Y_350,limit_F1score_RealSessions_A3GWRDHAURRNK6_350,limit_F1score_RealSessions_AVBRJBJONL47I_350,limit_F1score_RealSessions_A1A1ZXUVSV4YR8_350,limit_F1score_RealSessions_A1171IQSWQS0K8_350,limit_F1score_RealSessions_A3K2VSBTT3WUTI_350,limit_F1score_RealSessions_A1ZB2NY0F9QNP0_350,limit_F1score_RealSessions_A17TKHT8FEVH0R_350,limit_F1score_avg_350
R1,D0627,105,333,228,,,,,74.84934953,71.29974285,72.1085225,71.14168079,72.34982392,,,,,0.328286621,0.31271817,0.31626545,0.312024916,0.37,,,,,218.9724298,242.1372549,276.4795322,236.9744817,243.6409246,1,1,1,1,0.512815541,0.341749623,0.674946137,0.300935481,#NAME?,,,,,0.07671,0.07671,0.07671,0.07671,0.07671,100,,,,,0.271546,0.23049434,0.238796279,0.246595682,0.246858075,150,,,,,0.324316296,0.306827692,0.312535094,0.303896034,0.311893779,250,,,,,0.376246667,0.373498939,0.367387692,0.372677705,0.372452751,350,,,,,0.381549538,0.38114449,0.372438033,0.366533846,0.375416477
R1,D0628,105,333,228,,,,,70.46170468,66.80873474,70.63218219,70.95129615,69.71347944,,,,,0.309042564,0.293020766,0.309790273,0.311189895,0.37,,,,,264.8105727,284.7628004,274.5845987,256.3775624,270.1338836,1,1,1,1,0.404583728,0.31317561,0.321792407,0.346401745,#NAME?,,,,,0.22902,0.22902,0.22902,0.22902,0.22902,100,,,,,,,,,nan,150,,,,,0.291577895,0.271343607,0.304048846,0.294016875,0.290246806,250,,,,,0.358793333,0.34434625,0.35974,0.366359362,0.357309736,350,,,,,0.394090638,0.39528193,0.381844737,0.387138605,0.389588977
R1,D0629,105,333,228,,,,,66.11656269,67.96185581,65.78547414,65.76693354,66.40770655,,,,,0.289984924,0.298078315,0.288532781,0.288451463,0.37,,,,,,,,,nan,1,1,1,1,1,1,1,1,#NAME?,,,,,0.21594,0.21594,0.21594,0.21594,0.21594,100,,,,,0.22511,0.22701125,0.22421,0.226344074,0.225668831,150,,,,,0.288268966,0.305214524,0.283449048,0.295086596,0.293004783,250,,,,,0.336453415,0.33966125,0.343095,0.334926364,0.338534007,350,,,,,0.330950545,0.354383043,0.334677778,0.342046875,0.34051456
R1,D0630,105,333,228,,,,,74.14706693,77.75916078,81.5842683,71.30993373,76.20010743,,,,,0.325206434,0.341048951,0.357825738,0.312762867,0.37,,,,,229.334221,175.8993103,158.6745763,222.9820816,196.7225473,1,1,1,1,0.378940848,0.195453182,0.149313668,0.200524837,#NAME?,,,,,0.23871,0.23871,0.23871,0.23871,0.23871,100,,,,,0.2681086,0.273312679,0.291846765,0.2551964,0.272116111,150,,,,,0.323472206,0.340953438,0.36040375,0.323166296,0.336998922,250,,,,,0.37655234,0.395375161,0.420886047,0.370325231,0.390784695,350,,,,,0.39377,0.399743103,0.414667959,0.378554211,0.396683818
R1,D0631,105,333,228,,,,,80.30268855,77.06126872,78.5409928,76.27642366,78.04534343,,,,,0.352204774,0.337988021,0.344478039,0.334545718,0.37,,,,,168.467425,193.716895,179.0410528,190.8233246,183.0121744,1,1,1,1,0.177241024,0.174738669,0.160283544,0.228496277,#NAME?,,,,,0.26856,0.26856,0.26856,0.26856,0.26856,100,,,,,0.285122449,0.28776,0.283368,0.28724,0.285872612,150,,,,,0.350157778,0.331084762,0.338962353,0.35329,0.343373723,250,,,,,0.414323898,0.401232128,0.415066316,0.382567778,0.40329753,350,,,,,0.409438085,0.402943898,0.409041,0.389723966,0.402786737
R1,D0640,105,333,228,,,,,73.19455546,75.92899568,76.0109415,78.05653154,75.79775604,,,,,0.321028752,0.333021911,0.333381322,0.342353208,0.37,,,,,235.2065889,217.9301075,197.528914,173.1550771,205.9551719,1,1,1,1,0.323868323,0.284243366,0.20024935,0.126648123,#NAME?,,,,,0.23037,0.23037,0.23037,0.23037,0.23037,100,,,,,0.239282381,0.240610851,0.244188261,0.240610851,0.241173086,150,,,,,0.313552222,0.319673864,0.33823,0.327218478,0.324668641,250,,,,,0.374898636,0.387765217,0.393617442,0.402756897,0.389759548,350,,,,,0.388524906,0.406751389,0.405170851,0.394063455,0.39862765
R1,D0643,105,333,228,,,,,75.23710189,76.13642472,73.32882559,76.22462567,75.23174447,,,,,0.329987289,0.333931687,0.321617656,0.334318534,0.37,,,,,199.0752033,186.1766215,198.1585761,195.9112426,194.8304108,1,1,1,1,0.234117439,0.155903184,0.188027093,0.111512111,#NAME?,,,,,0.26415,0.26415,0.26415,0.26415,0.26415,100,,,,,0.268593818,0.268509643,0.266662059,0.267275909,0.267760357,150,,,,,0.342657455,0.341170357,0.314741429,0.319374394,0.329485909,250,,,,,0.385659254,0.398026154,0.388482034,0.40259625,0.393690923,350,,,,,0.3994735,0.372247826,0.383533333,0.4056635,0.39022954
R1,D0645,105,333,228,,,,,75.3835428,77.16261385,73.73823578,74.63373814,75.22953264,,,,,0.330629574,0.338432517,0.323413315,0.327340957,0.37,,,,,207.350639,201.3977188,217.0633484,212.4587379,209.567611,1,1,1,1,0.261604399,0.207625941,0.231190968,0.149619265,#NAME?,,,,,0.24946,0.24946,0.24946,0.24946,0.24946,100,,,,,0.252559216,0.252760889,0.252760889,0.252760889,0.252710471,150,,,,,0.329298,0.329277843,0.328534032,0.329277843,0.32909693,250,,,,,0.394111786,0.405135319,0.379978431,0.378985366,0.389552726,350,,,,,0.394397115,0.405850492,0.377471765,0.402863559,0.395145733
R1,D0647,105,333,228,,,,,91.67803676,92.64978885,89.76063463,83.37824965,89.36667747,,,,,0.402096652,0.406358723,0.393686994,0.365694077,0.37,,,,,134.9377378,131.5105524,128.4795539,183.2364763,144.5410801,1,1,1,1,0.16805631,0.076999304,0.075699599,0.192464784,#NAME?,,,,,0.27749,0.27749,0.27749,0.27749,0.27749,100,,,,,0.309310488,0.31112283,0.31733,0.302835714,0.310149758,150,,,,,0.395272553,0.392789512,0.40618125,0.344755,0.384749579,250,,,,,0.470654667,0.47798,0.46874125,0.431835862,0.462302945,350,,,,,0.500764815,0.486869032,0.445670571,0.446277241,0.469895415
R1,D0650,105,333,228,,,,,57.87621409,61.41533563,62.11224288,66.19409725,61.89947246,,,,,0.253843044,0.269365507,0.272422118,0.290324988,0.37,,,,,,,,,nan,1,1,1,1,1,1,1,1,#NAME?,,,,,0.21037,0.21037,0.21037,0.21037,0.21037,100,,,,,0.215977031,0.215977031,0.215977031,0.215977031,0.215977031,150,,,,,0.272047344,0.272047344,0.272047344,0.272047344,0.272047344,250,,,,,0.28512,0.315932727,0.313707143,0.34476,0.314879968,350,,,,,0.30917,0.3285325,0.324847895,0.361460811,0.331002801
