metric,topic,start_len,end_len,word_range,auc_resultsClusteringSpacyKeyphrases75_2_simulation_0,auc_topic,aucNorm_resultsClusteringSpacyKeyphrases75_2_simulation_0,score_limit,limit_wordCount_resultsClusteringSpacyKeyphrases75_2_simulation_0,limit_wordCount_topic,limit_relativeWordCount_resultsClusteringSpacyKeyphrases75_2_simulation_0,wordcount_limit_-inf,limit_F1score_resultsClusteringSpacyKeyphrases75_2_simulation_0_-inf,limit_F1score_avg_-inf,wordcount_limit_100,limit_F1score_resultsClusteringSpacyKeyphrases75_2_simulation_0_100,limit_F1score_avg_100,wordcount_limit_150,limit_F1score_resultsClusteringSpacyKeyphrases75_2_simulation_0_150,limit_F1score_avg_150,wordcount_limit_250,limit_F1score_resultsClusteringSpacyKeyphrases75_2_simulation_0_250,limit_F1score_avg_250,wordcount_limit_350,limit_F1score_resultsClusteringSpacyKeyphrases75_2_simulation_0_350,limit_F1score_avg_350
R1,BootLower,,,,2.588202588,69.9570385,,,,177.2671969,,#NAME?,0.009748275,0.222455975,100,0.010557488,0.246213621,150,0.012559959,0.30621438,250,0.01295275,0.362290199,350,0.012101836,0.369436854
R1,BootUpper,,,,2.672341288,75.21758237,,,,223.9988862,,#NAME?,0.010142925,0.242347175,100,0.010660983,0.267432091,150,0.01277467,0.331549009,250,0.013339397,0.388582345,350,0.013063247,0.394601937
,,,,,,,,,,,,,,,,,,,,,,,,,,
R2,D0601,105,333,228,13.5412306,13.5412306,0.059391362,0.06,149.765625,149.765625,0.186449196,#NAME?,0.02778,0.02778,100,0.037856667,0.037856667,150,0.060021429,0.060021429,250,0.06946,0.06946,350,0.059933478,0.059933478
R2,D0603,105,333,228,12.96054808,12.96054808,0.056844509,0.06,169.7760569,169.7760569,0.204553127,#NAME?,0.01535,0.01535,100,0.022685357,0.022685357,150,0.046104412,0.046104412,250,0.073647674,0.073647674,350,0.074462353,0.074462353
R2,D0605,105,333,228,13.83121174,13.83121174,0.060663209,0.06,150.3613218,150.3613218,0.171147571,#NAME?,0.03977,0.03977,100,0.04253129,0.04253129,150,0.059874151,0.059874151,250,0.074622857,0.074622857,350,0.077207561,0.077207561
R2,D0608,105,333,228,9.756082805,9.756082805,0.042789837,0.06,368.1393568,368.1393568,0.584682187,#NAME?,0.01972,0.01972,100,0.023708537,0.023708537,150,0.039793279,0.039793279,250,0.049756765,0.049756765,350,0.057989318,0.057989318
R2,D0614,105,333,228,18.01387714,18.01387714,0.079008233,0.06,103.1559757,103.1559757,0.037350859,#NAME?,0.05401,0.05401,100,0.058664571,0.058664571,150,0.072663125,0.072663125,250,0.093375429,0.093375429,350,0.09809,0.09809
R2,D0615,105,333,228,11.30236996,11.30236996,0.049571798,0.06,162.7160494,162.7160494,0.201240503,#NAME?,0.02835,0.02835,100,0.035222069,0.035222069,150,0.05485,0.05485,250,0.056952778,0.056952778,350,0.063380789,0.063380789
R2,D0616,105,333,228,11.50498855,11.50498855,0.050460476,0.06,285.25,285.25,0.457459207,#NAME?,0.03561,0.03561,100,0.039542,0.039542,150,0.05455,0.05455,250,0.056679184,0.056679184,350,0.070395556,0.070395556
R2,D0617,105,333,228,17.776799,17.776799,0.077968417,0.06,106.1825629,106.1825629,0.060138414,#NAME?,0.03555,0.03555,100,0.054438947,0.054438947,150,0.071392453,0.071392453,250,0.09342,0.09342,350,0.098274681,0.098274681
R2,D0620,105,333,228,11.47373982,11.47373982,0.05032342,0.06,328.7641921,328.7641921,0.538986493,#NAME?,0.03986,0.03986,100,0.040487209,0.040487209,150,0.049718,0.049718,250,0.059567222,0.059567222,350,0.061656786,0.061656786
R2,D0624,105,333,228,18.73950815,18.73950815,0.082190825,0.06,,nan,1,#NAME?,0.06662,0.06662,100,0.0744,0.0744,150,0.08274,0.08274,250,0.097442391,0.097442391,350,0.101285652,0.101285652
R2,D0627,105,333,228,9.91866872,9.91866872,0.043502933,0.06,254.1016949,254.1016949,0.413026277,#NAME?,0.02017,0.02017,100,0.022323529,0.022323529,150,0.0279716,0.0279716,250,0.059813846,0.059813846,350,0.056637778,0.056637778
R2,D0628,105,333,228,12.24858121,12.24858121,0.053721847,0.06,197.2136872,197.2136872,0.273212925,#NAME?,0.04946,0.04946,100,0.05256,0.05256,150,0.055896154,0.055896154,250,0.061851091,0.061851091,350,0.062756667,0.062756667
R2,D0629,105,333,228,12.16503078,12.16503078,0.053355398,0.06,229.1747573,229.1747573,0.477840121,#NAME?,0.01533,0.01533,100,0.0307425,0.0307425,150,0.052515417,0.052515417,250,0.063507273,0.063507273,350,0.0679708,0.0679708
R2,D0630,105,333,228,15.59315272,15.59315272,0.068391021,0.06,,nan,1,#NAME?,0.06273,0.06273,100,0.0645516,0.0645516,150,0.074380909,0.074380909,250,0.081506,0.081506,350,0.071606383,0.071606383
R2,D0631,105,333,228,20.79798582,20.79798582,0.091219236,0.06,,nan,1,#NAME?,0.07004,0.07004,100,0.081898824,0.081898824,150,0.100297778,0.100297778,250,0.104482258,0.104482258,350,0.109175957,0.109175957
R2,D0640,105,333,228,19.29735639,19.29735639,0.084637528,0.06,,nan,1,#NAME?,0.07591,0.07591,100,0.078965,0.078965,150,0.082104,0.082104,250,0.097415918,0.097415918,350,0.110594,0.110594
R2,D0643,105,333,228,27.5630793,27.5630793,0.120890699,0.06,,nan,1,#NAME?,0.08675,0.08675,100,0.096189048,0.096189048,150,0.112161154,0.112161154,250,0.13915375,0.13915375,350,0.156176,0.156176
R2,D0645,105,333,228,18.41523026,18.41523026,0.080768554,0.06,111.8172043,111.8172043,0.080754326,#NAME?,0.03041,0.03041,100,0.04901,0.04901,150,0.082222,0.082222,250,0.093608293,0.093608293,350,0.098244054,0.098244054
R2,D0647,105,333,228,14.19234796,14.19234796,0.06224714,0.06,139.1916764,139.1916764,0.174364867,#NAME?,0.06011,0.06011,100,0.058016122,0.058016122,150,0.0673756,0.0673756,250,0.074692632,0.074692632,350,0.072014,0.072014
R2,D0650,105,333,228,14.20771242,14.20771242,0.062314528,0.06,,nan,1,#NAME?,0.06726,0.06726,100,0.066606774,0.066606774,150,0.063436667,0.063436667,250,0.068714118,0.068714118,350,0.077865333,0.077865333
R2,AVG,105,333,228,15.16497507,15.16497507,0.066513049,0.06,,196.8292972,0.493060304,#NAME?,0.0450395,0.0450395,100,0.051520002,0.051520002,150,0.065503406,0.065503406,250,0.078483474,0.078483474,350,0.082285857,0.082285857
R2,STD,0,0,0,4.291536142,4.291536142,0.018822527,0.06,,81.37620051,0.363411417,#NAME?,0.021171956,0.021171956,100,0.020480299,0.020480299,150,0.019575062,0.019575062,250,0.021164251,0.021164251,350,0.024176202,0.024176202
R2,BootAvg,,,,,15.12481013,,,,195.9036952,,#NAME?,,0.045082,100,,0.051325487,150,,0.065474419,250,,0.078299195,350,,0.081988863
R2,BootLower,,,,1.727596023,13.39721411,,,,156.8476071,,#NAME?,0.009193113,0.035888888,100,0.008449453,0.042876034,150,0.008406399,0.05706802,250,0.008727189,0.069572006,350,0.009777902,0.072210961
